estimator,gate_rule,required_uplift_pct,held_out_decision,pass_rate_pct,false_positive_rate_pct,false_negative_rate_pct,wrong_decision_rate_pct
INTERPOL-3,point,0.0,definite_pass,80.0,0.0,20.0,20.0
INTERPOL-3,lower_bound,0.0,definite_pass,10.0,0.0,90.0,90.0
INTERPOL-3,point,0.5,uncertain,76.67,,,
INTERPOL-3,lower_bound,0.5,uncertain,6.67,,,
INTERPOL-3,point,1.0,uncertain,76.67,,,
INTERPOL-3,lower_bound,1.0,uncertain,0.0,,,
INTERPOL-3,point,1.5,definite_fail,63.33,63.33,0.0,63.33
INTERPOL-3,lower_bound,1.5,definite_fail,0.0,0.0,0.0,0.0
INTERPOL-3,point,2.0,definite_fail,63.33,63.33,0.0,63.33
INTERPOL-3,lower_bound,2.0,definite_fail,0.0,0.0,0.0,0.0
INTERPOL-3,point,2.5,definite_fail,60.0,60.0,0.0,60.0
INTERPOL-3,lower_bound,2.5,definite_fail,0.0,0.0,0.0,0.0
INTERPOL-3,point,3.0,definite_fail,50.0,50.0,0.0,50.0
INTERPOL-3,lower_bound,3.0,definite_fail,0.0,0.0,0.0,0.0
INTERPOL-3,point,4.0,definite_fail,36.67,36.67,0.0,36.67
INTERPOL-3,lower_bound,4.0,definite_fail,0.0,0.0,0.0,0.0
INTERPOL-3,point,5.0,definite_fail,30.0,30.0,0.0,30.0
INTERPOL-3,lower_bound,5.0,definite_fail,0.0,0.0,0.0,0.0
INTERPOL-3,point,6.0,definite_fail,20.0,20.0,0.0,20.0
INTERPOL-3,lower_bound,6.0,definite_fail,0.0,0.0,0.0,0.0
INTERPOL-3,point,8.0,definite_fail,6.67,6.67,0.0,6.67
INTERPOL-3,lower_bound,8.0,definite_fail,0.0,0.0,0.0,0.0
PBM-D,point,0.0,definite_pass,100.0,0.0,0.0,0.0
PBM-D,lower_bound,0.0,definite_pass,100.0,0.0,0.0,0.0
PBM-D,point,0.5,uncertain,100.0,,,
PBM-D,lower_bound,0.5,uncertain,100.0,,,
PBM-D,point,1.0,uncertain,100.0,,,
PBM-D,lower_bound,1.0,uncertain,100.0,,,
PBM-D,point,1.5,definite_fail,100.0,100.0,0.0,100.0
PBM-D,lower_bound,1.5,definite_fail,100.0,100.0,0.0,100.0
PBM-D,point,2.0,definite_fail,100.0,100.0,0.0,100.0
PBM-D,lower_bound,2.0,definite_fail,100.0,100.0,0.0,100.0
PBM-D,point,2.5,definite_fail,100.0,100.0,0.0,100.0
PBM-D,lower_bound,2.5,definite_fail,100.0,100.0,0.0,100.0
PBM-D,point,3.0,definite_fail,100.0,100.0,0.0,100.0
PBM-D,lower_bound,3.0,definite_fail,100.0,100.0,0.0,100.0
PBM-D,point,4.0,definite_fail,100.0,100.0,0.0,100.0
PBM-D,lower_bound,4.0,definite_fail,90.0,90.0,0.0,90.0
PBM-D,point,5.0,definite_fail,76.67,76.67,0.0,76.67
PBM-D,lower_bound,5.0,definite_fail,3.33,3.33,0.0,3.33
PBM-D,point,6.0,definite_fail,3.33,3.33,0.0,3.33
PBM-D,lower_bound,6.0,definite_fail,0.0,0.0,0.0,0.0
PBM-D,point,8.0,definite_fail,0.0,0.0,0.0,0.0
PBM-D,lower_bound,8.0,definite_fail,0.0,0.0,0.0,0.0
